Nota,Título,Comentário
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
1,,Troquei de celular e tentei resgatar minhas compras porém não consegui e o app trava constantemente sempre que tento baixar os vídeos novamente!
5,,amamos mundo bita é divertido educacional minha baby adora
5,,"- Meu filho só tem 7 meses mais na primeira vez que eu coloquei pra ele assistir ele adorou agora só come se assistir ,toma banho assistindo dorme escultando as musiquinhas adorei❤"
5,,"muito legal, parabéns"
5,,"Amamos! Aplicativo muito bom! Como sugestão para proximas atualizações, sugiro algum bloqueio de tela para que a criança ao mexer no celular nao saia do app, ou nao pause a música."
5,,recomendo ótimo
5,,Minha filha adora!
5,,"ótimo, minha filha ama."
1,,legal.
5,,"Gosto muito, porem gostaria que tivesse mais atualizações. Não aparece os novos títulos pra comprar no app. Gostaria que fosse disponibilizado para compra as novas músicas."
5,,ótimo aplicativo deveria ter jogos do tema tbm!
5,,Meu bebê ama demais 😍
5,,amoooo me ajuda mto
5,,"uma ótima opção para quando estou com meu filho na rua e não quero gastar meu pacote de dados. Adoro o desenho é muito educativo, sendo no aplicativo fica útil também."
5,,muito bom
5,,legal
5,,elegal para as crianças
5,,Tomara que seja legal
5,,Muito bom
1,,ruim
2,,precisa fazer download dos videos mas nao chega nem a comecar a carregar...
5,,minha filha ama...
5,,meu fikho adora e eu também 🤗
5,,otimo
5,,muito bom😍
1,,está muito ruim precisa melhorar
5,,"Comprei 2 álbuns, mas quando reproduz repete 2 vezez a mesma música. Desinstalei e instalei novamente, agora so alegria da minha pequena 😄"
5,,"Eu AMEI o app! Me ajudou muito pq minha filha adora e nem sempre temos como acessar pelo youtube ou ver o dvd. O valor promocional é ótimo e acessível. Alguns vídeos não abriam mas era pq não havia sido baixado por completo. Desinstalei e reinstalei o app, recuperei meus vídeos e fiz os downloads um a um. Pronto, agora estão perfeitos! Muito feliz!!! Muito obrigada por vcs existirem! 😍😍😍😍😍"
5,,Lindo
4,,"muito bom, parabéms"
5,,"É MUITO LEGAL PARA BEBÊ,AMEI"
1,,pensava que seria grátis as musicas
5,,"adoro, só deveria ter um botão de bloqueio"
5,,otimo
1,,não pega
5,,excelemte psra ss criancas
5,,maravilhoso
5,,muito bom
5,,lagal
5,,muito bom
